ID	PLACE_ID	CREATED_AT	REVIEWER_ID	COMMENTS
245345373	22002927	2018-03-22 0:00	1279821	'Apartment in a great centra...'
245351364	22740286	2018-03-22 0:00	89096294	'Nice comfortable appartment...'
245564556	17810814	2018-03-22 0:00	45536917	Wonderful home! Clean, styl...
245565270	20351923	2018-03-22 0:00	165352010	Great place to stay, very c...
245567531	13627321	2018-03-22 0:00	8250679	'Great place! Our only compl...'
245573332	22740286	2018-03-23 0:00	178516585	Safe, clean, and responsive...
246149889	22002927	2018-03-25 0:00	4956658	Great location, great apart...
246684790	13627321	2018-03-25 0:00	117578844	热情好客的房东,便利的交通,时尚的房子,还有无敌的景观
247006234	22002927	2018-03-27 0:00	162010733	Lovely property, modern, gr...
247267548	20351923	2018-03-28 0:00	36669021	'Very great view of Melbourn...'
247274399	1001457	2018-03-28 0:00	110064322	'Close to city. Easy access ...'
247835742	13627321	2018-03-30 0:00	5366167	'Alex went above and beyond ...'
248637536	22002927	2018-04-01 0:00	61859199	Muy buena ubicación, muy li...
248645052	22740286	2018-04-01 0:00	99067466	'非常不错的地方就在地铁站旁边 交通便利 住宿条件也不错...'
249215421	20351923	2018-04-01 0:00	40346989	'Perfect location. Clean and...'
249807369	20351923	2018-04-03 0:00	173349633	公寓装修时尚,靠近市中心,房间可俯瞰墨尔本夜景｡推荐入住
